,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
44903,Who's Afraid of Virginia Woolf?,1966,131,Drama,8.0,66619.0,WB,28000000.0,5.0,13.0
44969,Anna Karenina,1967,145,Drama,7.1,827.0,Focus,12816367.0,1.0,4.0
45142,Doctor Dolittle,1967,152,Adventure,6.2,8201.0,Fox,144156605.0,2.0,9.0
45246,The Graduate,1967,106,Comedy,8.0,246305.0,AVCO,104945305.0,1.0,7.0
45259,Guess Who's Coming to Dinner,1967,108,Comedy,7.8,37258.0,Col.,56666667.0,2.0,10.0
45352,The Jungle Book,1967,78,Adventure,7.6,159315.0,Dis.,141843612.0,1.0,1.0
45764,Pinocchio,1967,75,Adventure,7.2,23.0,Dis.,84254167.0,2.0,2.0
45765,Pinocchio,1967,75,Adventure,7.2,23.0,Mira.,3684305.0,2.0,2.0
45883,2001: A Space Odyssey,1968,149,Adventure,8.3,574735.0,MGM,58588800.0,1.0,4.0
46021,Charly,1968,103,Drama,7.0,5999.0,Excel,814666.0,1.0,1.0
46186,Funny Girl,1968,151,Biography,7.4,17999.0,Col.,52223306.0,1.0,8.0
46372,The Lion in Winter,1968,134,Biography,7.9,27986.0,Emb,18177.0,3.0,7.0
46421,A Midsummer Night's Dream,1968,124,Comedy,6.4,632.0,FoxS,16071990.0,2.0,11.0
46531,Planet of the Apes,1968,112,Adventure,8.0,160690.0,Fox,32589624.0,1.0,2.0
46543,The Producers,1967,88,Comedy,7.6,48073.0,Uni.,19398532.0,1.0,2.0
46555,The Queen,1968,68,Documentary,7.3,441.0,Mira.,56441711.0,1.0,6.0
46718,The Thomas Crown Affair,1968,102,Crime,7.0,21536.0,MGM,69305181.0,1.0,2.0
46961,Butch Cassidy and the Sundance Kid,1969,110,Biography,8.0,196115.0,Fox,102308889.0,4.0,7.0
47398,Midnight Cowboy,1969,113,Drama,7.8,96306.0,UA,44785053.0,3.0,7.0
47761,True Grit,1969,128,Adventure,7.4,40804.0,Par.,171243005.0,1.0,2.0
47899,Airport,1970,137,Action,6.6,16707.0,Uni.,100489151.0,1.0,10.0
48393,Love Story,1970,100,Drama,6.9,28817.0,Par.,106397186.0,1.0,7.0
48547,Patton,1970,172,Biography,7.9,91119.0,Fox,61749765.0,7.0,10.0
49123,Pinocchio,1971,74,Comedy,3.6,139.0,Dis.,84254167.0,2.0,2.0
49124,Pinocchio,1971,74,Comedy,3.6,139.0,Mira.,3684305.0,2.0,2.0
49141,Fiddler on the Roof,1971,181,Drama,8.0,37234.0,UA,10404330.0,3.0,8.0
49158,The French Connection,1971,104,Action,7.7,104774.0,Fox,51700000.0,5.0,8.0
49189,Great Expectations,1971,NaN,NaN,5.9,10.0,Fox,26420672.0,2.0,5.0
49314,The Last Picture Show,1971,118,Drama,8.0,39997.0,Col.,29133000.0,2.0,8.0
49634,Shaft,1971,100,Action,6.6,15878.0,Par.,70334258.0,1.0,2.0
50241,The Godfather,1972,175,Crime,9.2,1534442.0,Par.,134966411.0,3.0,14.0
50602,The Poseidon Adventure,1972,117,Action,7.1,39351.0,Fox,84563118.0,2.0,8.0
51214,The Exorcist,1973,122,Horror,8.0,348863.0,WB,232906145.0,2.0,10.0
51420,The Little Mermaid,1975,68,Adventure,7.4,778.0,BV,111543479.0,2.0,3.0
51724,The Sting,1973,129,Comedy,8.3,231619.0,Uni.,156000000.0,7.0,10.0
51737,Superman,1973,104,Action,6.3,180.0,WB,134218018.0,1.0,3.0
51849,The Way We Were,1973,118,Drama,7.1,21259.0,Col.,45000000.0,2.0,6.0
51930,Alice Doesn't Live Here Anymore,1974,112,Drama,7.3,20342.0,WB,18600000.0,1.0,3.0
51937,Amarcord,1973,123,Comedy,7.9,37779.0,Jan.,125493.0,1.0,6.0
52088,Chinatown,1974,130,Drama,8.2,280255.0,Par.,29200000.0,1.0,11.0
52122,Crash,1974,90,Drama,4.4,44.0,Lions,54580300.0,3.0,6.0
52187,Earthquake,1974,122,Action,5.9,13154.0,Uni.,79666653.0,1.0,4.0
52277,The Great Gatsby,1974,144,Drama,6.4,22772.0,Par.,20563273.0,2.0,2.0
52278,The Great Gatsby,1974,144,Drama,6.4,22772.0,Par.,20563273.0,2.0,2.0
52495,Murder on the Orient Express,1974,128,Crime,7.3,52678.0,Par.,27634716.0,1.0,6.0
52540,Once,1973,100,Fantasy,6.6,14.0,FoxS,9439923.0,1.0,1.0
52610,Scent of a Woman,1974,103,Comedy,7.6,3647.0,Uni.,63095253.0,1.0,4.0
52808,The Towering Inferno,1974,165,Action,7.0,37484.0,Fox,116000000.0,3.0,8.0
53025,The Box,1975,100,Drama,7.0,25.0,WB,15051977.0,1.0,1.0
53144,Dog Day Afternoon,1975,125,Biography,8.0,226729.0,WB,50000000.0,1.0,6.0
53331,Independence Day,1976,87,Drama,6.5,99.0,Fox,306169268.0,1.0,2.0
